date,vu_total,vu_men,vu_women,vu_orcid,vu_works,vu_men_works,vu_women_works
2020-07-20,4635,2640,1976,1074,19471,14562,6009
2020-07-20,4635,2640,1976,1074,19471,14562,6009
2020-07-20,4635,2640,1976,1074,19471,14562,6009
2020-07-21,4635,2640,1976,1074,19477,14568,6009
2020-07-21,4635,2640,1976,1074,19477,14568,6009
